season,team,games,wins,losses,pf,pa,conf,team_id,name,wins_espn,losses_espn,points_for,points_against,espn_seed,pf_gap,pa_gap
2023,UTAH,82,37,45,9600,9677,Western,26,Utah Jazz,37,45,9600,9677,12,0,0
2023,WSH,82,35,47,9279,9378,Eastern,27,Washington Wizards,35,47,9279,9378,12,0,0
2024,ATL,82,36,46,9703,9882,Eastern,1,Atlanta Hawks,36,46,9703,9880,10,0,2
2024,BKN,82,32,50,9050,9287,Eastern,17,Brooklyn Nets,32,50,9051,9287,11,-1,0
2024,BOS,82,64,18,9887,8957,Eastern,2,Boston Celtics,64,18,9887,8957,1,0,0
2024,CHA,82,21,61,8740,9580,Eastern,30,Charlotte Hornets,21,61,8740,9580,13,0,0
2024,CHI,82,39,43,9206,9324,Eastern,4,Chicago Bulls,39,43,9206,9324,9,0,0
2024,CLE,82,48,34,9236,9038,Eastern,5,Cleveland Cavaliers,48,34,9236,9038,4,0,0
2024,DAL,82,50,32,9664,9483,Western,6,Dallas Mavericks,50,32,9664,9483,5,0,0
2024,DEN,82,57,25,9418,8987,Western,7,Denver Nuggets,57,25,9418,8987,2,0,0
2024,DET,82,14,68,9010,9757,Eastern,8,Detroit Pistons,14,68,9010,9757,15,0,0
2024,GS,82,46,36,9657,9443,Western,9,Golden State Warriors,46,36,9657,9443,10,0,0
2024,HOU,82,41,41,9375,9283,Western,10,Houston Rockets,41,41,9375,9283,11,0,0
2024,IND,82,47,35,10110,9860,Eastern,11,Indiana Pacers,47,35,10110,9860,6,0,0
2024,LAC,82,51,31,9481,9212,Western,12,LA Clippers,51,31,9481,9212,4,0,0
2024,LAL,82,47,35,9679,9630,Western,13,Los Angeles Lakers,47,35,9679,9630,7,0,0
2024,MEM,82,27,55,8677,9251,Western,29,Memphis Grizzlies,27,55,8677,9251,13,0,0
2024,MIA,82,46,36,9032,8888,Eastern,14,Miami Heat,46,36,9032,8888,8,0,0
2024,MIL,82,49,33,9756,9541,Eastern,15,Milwaukee Bucks,49,33,9756,9541,3,0,0
2024,MIN,82,56,26,9264,8735,Western,16,Minnesota Timberwolves,56,26,9264,8735,3,0,0
2024,NO,82,49,33,9436,9074,Western,3,New Orleans Pelicans,49,33,9436,9074,8,0,0
2024,NY,82,50,32,9249,8873,Eastern,18,New York Knicks,50,32,9249,8873,2,0,0
2024,OKC,82,57,25,9847,9239,Western,25,Oklahoma City Thunder,57,25,9847,9239,1,0,0
2024,ORL,82,47,35,9058,8892,Eastern,19,Orlando Magic,47,35,9058,8893,5,0,-1
2024,PHI,82,47,35,9397,9147,Eastern,20,Philadelphia 76ers,47,35,9395,9147,7,2,0
2024,PHX,82,49,33,9532,9281,Western,21,Phoenix Suns,49,33,9532,9281,6,0,0
2024,POR,82,21,61,8722,9462,Western,22,Portland Trail Blazers,21,61,8722,9462,15,0,0
2024,SA,82,22,60,9192,9724,Western,24,San Antonio Spurs,22,60,9192,9724,14,0,0
2024,SAC,82,46,36,9558,9415,Western,23,Sacramento Kings,46,36,9558,9415,9,0,0
2024,TOR,82,25,57,9213,9741,Eastern,28,Toronto Raptors,25,57,9213,9741,12,0,0
2024,UTAH,82,31,51,9484,9885,Western,26,Utah Jazz,31,51,9484,9885,12,0,0
2024,WSH,82,15,67,9327,10089,Eastern,27,Washington Wizards,15,67,9327,10089,14,0,0
2025,ATL,82,40,42,9691,9784,Eastern,1,Atlanta Hawks,40,42,9691,9784,9,0,0
2025,BKN,82,26,56,8619,9202,Eastern,17,Brooklyn Nets,26,56,8619,9202,12,0,0
2025,BOS,82,61,21,9534,8787,Eastern,2,Boston Celtics,61,21,9534,8787,2,0,0
2025,CHA,82,19,63,8618,9365,Eastern,30,Charlotte Hornets,19,63,8618,9365,14,0,0
2025,CHI,82,39,43,9660,9788,Eastern,4,Chicago Bulls,39,43,9660,9788,10,0,0
2025,CLE,82,64,18,9999,9217,Eastern,5,Cleveland Cavaliers,64,18,9999,9218,1,0,-1
2025,DAL,82,39,43,9364,9462,Western,6,Dallas Mavericks,39,43,9364,9462,10,0,0
2025,DEN,82,50,32,9902,9583,Western,7,Denver Nuggets,50,32,9902,9583,4,0,0
2025,DET,82,44,38,9471,9315,Eastern,8,Detroit Pistons,44,38,9471,9315,6,0,0
2025,GS,82,48,34,9331,9060,Western,9,Golden State Warriors,48,34,9331,9060,7,0,0
2025,HOU,82,52,30,9372,9002,Western,10,Houston Rockets,52,30,9372,9002,2,0,0
2025,IND,82,50,32,9624,9441,Eastern,11,Indiana Pacers,50,32,9624,9441,4,0,0
2025,LAC,82,50,32,9256,8874,Western,12,LA Clippers,50,32,9256,8874,5,0,0
2025,LAL,82,50,32,9298,9198,Western,13,Los Angeles Lakers,50,32,9298,9198,3,0,0
2025,MEM,82,48,34,9980,9582,Western,29,Memphis Grizzlies,48,34,9980,9582,8,0,0
2025,MIA,82,37,45,9069,9023,Eastern,14,Miami Heat,37,45,9069,9023,8,0,0
2025,MIL,82,48,34,9472,9269,Eastern,15,Milwaukee Bucks,48,34,9472,9269,5,0,0
2025,MIN,82,49,33,9372,8962,Western,16,Minnesota Timberwolves,49,33,9372,8962,6,0,0
2025,NO,82,21,61,9006,9779,Western,3,New Orleans Pelicans,21,61,9006,9779,14,0,0
2025,NY,82,51,31,9494,9158,Eastern,18,New York Knicks,51,31,9495,9158,3,-1,0
2025,OKC,82,68,14,9881,8826,Western,25,Oklahoma City Thunder,68,14,9881,8826,1,0,0
2025,ORL,82,41,41,8645,8655,Eastern,19,Orlando Magic,41,41,8645,8655,7,0,0
2025,PHI,82,24,58,8988,9499,Eastern,20,Philadelphia 76ers,24,58,8988,9499,13,0,0
2025,PHX,82,36,46,9317,9563,Western,21,Phoenix Suns,36,46,9317,9563,11,0,0
2025,POR,82,36,46,9093,9337,Western,22,Portland Trail Blazers,36,46,9093,9337,12,0,0
2025,SA,82,34,48,9342,9568,Western,24,San Antonio Spurs,34,48,9342,9568,13,0,0
2025,SAC,82,40,42,9490,9451,Western,23,Sacramento Kings,40,42,9490,9451,9,0,0
2025,TOR,82,30,52,9091,9443,Eastern,28,Toronto Raptors,30,52,9091,9443,11,0,0
2025,UTAH,82,17,65,9175,9941,Western,26,Utah Jazz,17,65,9175,9941,15,0,0
2025,WSH,82,18,64,8856,9876,Eastern,27,Washington Wizards,18,64,8856,9876,15,0,0
